song,artist,id
Born Slippy (Nuxx),['Underworld'],7xQYVjs4wZNdCwO0EeAWMC
Maggie May,['Rod Stewart'],6rovOdp3HgK1DeAMYDzoA7
Creep,['Radiohead'],6b2oQwSGFkzsMtQruIWm2p
Live Forever,['Lil Peep'],0glTZHa9SxsDpeCQGc9AVs
"No Woman, No Cry - Live At The Lyceum, London/1975",['Bob Marley & The Wailers'],423hwXFgoN8RYmqLoLuVvY
Won't Get Fooled Again - Original Album Version,['The Who'],0cJPLFrlV7TTCyPLupHzcH
"Runaway Child, Running Wild - Single Version/Mono",['The Temptations'],181cvELM8M0uqcy9G4hqH5
Be-Bop-A-Lula,['Gene Vincent & His Blue Caps'],0HUp7ipIDJvITTqizN6cxJ
"Oh, Pretty Woman",['Roy Orbison'],48i055G1OT5KxGGftwFxWy
Brown Sugar - 2009 Mix,['The Rolling Stones'],61UuPxxYUvacEH6SHIK3sU
Time to Pretend,['MGMT'],4iG2gAwKXsOcijVaVXzRPW
Marquee Moon - Remastered,['Television'],3MWdMCAIFPzcIUdiEi8Pao
Last Nite,['The Strokes'],3SUusuA9jH1v6PVwtYMbdv
Purple Rain,['Prince'],54X78diSLoUDI3joC2bjMz
Psycho Killer - 2005 Remaster,['Talking Heads'],1i6N76fftMZhijOzFQ5ZtL
Tomorrow Never Knows - Remastered 2009,['The Beatles'],00oZhqZIQfL9P5CjOP6JsO
Kids,['MGMT'],1jJci4qxiYcOHhQR247rEU
Song 2 - 2012 Remaster,['Blur'],1FTSo4v6BOZH9QxKc3MbVM
Honky Tonk Women - Mono Version,['The Rolling Stones'],3RZMzCvYsmJ0u2ioKTOsmJ
I Bet You Look Good On The Dancefloor,['Arctic Monkeys'],29EkMZmUNz1WsuzaMtVo1i
Jailhouse Rock,['Elvis Presley'],4gphxUgq0JSFv2BCLhNDiE
Maps,['Maroon 5'],4gbVRS8gloEluzf0GzDOFc
When a Man Loves a Woman,['Percy Sledge'],51FpzuGkRYXFgsE2zXt9av
Baba O'Riley,['The Who'],3qiyyUfYe7CRYLucrPmulD
Get It On Tonite,['Montell Jordan'],0AcLrSfAEBQcUnHOTm5pXg
Will You Still Love Me Tomorrow? - 2011,['Amy Winehouse'],0LbK1bodGLc9xmV1cS9jvL
White Rabbit,['Jefferson Airplane'],4vpeKl0vMGdAXpZiQB2Dtd
Tainted Love,['Soft Cell'],58E1XVmZTODC67YNjneuXM
"Empire State Of Mind (In the Style of ""Jay-Z & Alicia Keys"") [Performance Track with Demonstration Vocals]",['Done Again'],6sLeKXRd18llTYeqiCT0lK
Are the Good Times Really Over (I Wish a Buck Was Still Silver) - Single Version,['Merle Haggard'],1Qbqq0ZjjIuqa3DQPIUiZz
Like a Prayer,['Madonna'],1z3ugFmUKoCzGsI6jdY4Ci
In My Life - Remastered 2009,['The Beatles'],3KfbEIOC7YIv90FIfNSZpo
Teenage Kicks,['The Undertones'],7ATyLePQnHxFk5kzxWCcsh
(Don't Fear) The Reaper,['Blue Öyster Cult'],5QTxFnGygVM4jFQiBovmRo
Help! - Remastered 2009,['The Beatles'],7DD7eSuYSC5xk2ArU62esN
Wuthering Heights,['Kate Bush'],5YSI1311X8t31PBjkBG4CZ
Virginia Plain,['Roxy Music'],5ZgNecJcN9SSopnmCTlpXs
Once or Twice,"[""Hal Smith's Roadrunners"", 'Rebecca Kilgore']",5wmQnI9R8nhyPv2FqEckks
There She Goes,"[""The La's""]",0SMkzFGJOBFDI9KfYD55L0
I Wanna Be Your Dog,['The Stooges'],672N8DGGTOLCOgWe0koX5g
Sunday Bloody Sunday - Remastered 2008,['U2'],6C4LXC9UFH1IKiHYOp0BiJ
Umbrella,"['Rihanna', 'JAY-Z']",49FYlytm3dAAraYgpoJZux
Smoke on the Water,['Deep Purple'],5SAUIWdZ04OxYfJFDchC7S
While My Guitar Gently Weeps - Remastered 2009,['The Beatles'],389QX9Q1eUOEZ19vtzzI9O
Into the Groove,['Madonna'],2m0M7YqCy4lXfedh18qd8N
Family Affair - Single Version,['Sly & The Family Stone'],2GVEs1sn5Q1jB1976vQoAX
(White Man) in Hammersmith Palais,['The Clash'],45xBWOa6oEAk1WlVyr5QAB
Eleanor Rigby - Remastered 2009,['The Beatles'],5GjPQ0eI7AgmOnADn1EO6Q
Sunshine Of Your Love,['Cream'],2K2M0TcglCRLLpFOzKeFZA
Walk On By,"['Thundercat', 'Kendrick Lamar']",6fkL9CjWmjeV6vfDxTp9OZ
Search and Destroy - Iggy Pop Mix,['The Stooges'],00sydAz6PeOxYzwG1dRIPi
Little Red Corvette - Single Version,['Prince'],6X4JeTWCuKEzKOEHXDtyBo
Born in the U.S.A.,['Bruce Springsteen'],0dOg1ySSI7NkpAe89Zo0b9
Brown Eyed Girl,['Van Morrison'],3yrSvpt2l1xhsV9Em88Pul
Mystery Train,['Elvis Presley'],0GvhHQbWSnGltjl0je61dI
Let It Be - Remastered 2009,['The Beatles'],7iN1s7xHE4ifF5povM6A48
Peggy Sue - Single Version,['Buddy Holly'],2WPXaTk7Fe4cSfiVRzuYlw
Kick out the Jams,['Rage Against The Machine'],2rqrgNkiWg072vbo81h02j
Hurt,['Oliver Tree'],6Ph8QwsRfZunN5e1GGBIqa
Autobahn - 2009 Remaster,['Kraftwerk'],31uidLEHAcF8Cw1cX1VCS8
My Girls,['Animal Collective'],2gE0khQ948RYQOeTgCUL2a
Midnight City,['M83'],1eyzqe2QqGZUmfcPZtrIyt
