,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
10213,0.862,0.642,6,-13.652,0,0.101,0.102,0.0,0.272,0.765,99.201,audio_features,1w29UTa5uUvIri2tWtZ12Y,spotify:track:1w29UTa5uUvIri2tWtZ12Y,https://api.spotify.com/v1/tracks/1w29UTa5uUvIri2tWtZ12Y,https://api.spotify.com/v1/audio-analysis/1w29UTa5uUvIri2tWtZ12Y,267267,4
10214,0.715,0.833,2,-5.379,1,0.108,0.00631,0.0,0.164,0.612,95.487,audio_features,3jDdpx9PMlfMBS5tOBHFm9,spotify:track:3jDdpx9PMlfMBS5tOBHFm9,https://api.spotify.com/v1/tracks/3jDdpx9PMlfMBS5tOBHFm9,https://api.spotify.com/v1/audio-analysis/3jDdpx9PMlfMBS5tOBHFm9,213093,4
10215,0.499,0.866,2,-3.895,0,0.0534,0.0733,0.929,0.304,0.715,205.92,audio_features,3msQJEmoSGNJGvyDCMMafB,spotify:track:3msQJEmoSGNJGvyDCMMafB,https://api.spotify.com/v1/tracks/3msQJEmoSGNJGvyDCMMafB,https://api.spotify.com/v1/audio-analysis/3msQJEmoSGNJGvyDCMMafB,195874,4
10216,0.555,0.418,0,-12.7,1,0.0455,0.309,0.00119,0.237,0.328,159.764,audio_features,5MLOLDUEBT78eyG3WLQymh,spotify:track:5MLOLDUEBT78eyG3WLQymh,https://api.spotify.com/v1/tracks/5MLOLDUEBT78eyG3WLQymh,https://api.spotify.com/v1/audio-analysis/5MLOLDUEBT78eyG3WLQymh,246453,4
10217,0.307,0.319,0,-11.46,1,0.0481,0.922,9.34e-06,0.136,0.289,57.431,audio_features,70Xt4jSqmMpdrpO5P6ypvC,spotify:track:70Xt4jSqmMpdrpO5P6ypvC,https://api.spotify.com/v1/tracks/70Xt4jSqmMpdrpO5P6ypvC,https://api.spotify.com/v1/audio-analysis/70Xt4jSqmMpdrpO5P6ypvC,146920,4
10218,0.856,0.696,6,-3.51,1,0.226,0.0405,8.75e-06,0.0901,0.718,89.738,audio_features,3GMR3hyv8BccozoebVMve3,spotify:track:3GMR3hyv8BccozoebVMve3,https://api.spotify.com/v1/tracks/3GMR3hyv8BccozoebVMve3,https://api.spotify.com/v1/audio-analysis/3GMR3hyv8BccozoebVMve3,278200,4
10219,0.434,0.726,7,-5.482,0,0.033,0.0351,0.288,0.476,0.7,92.751,audio_features,2Zv95uoSB1H4puVfAYbovF,spotify:track:2Zv95uoSB1H4puVfAYbovF,https://api.spotify.com/v1/tracks/2Zv95uoSB1H4puVfAYbovF,https://api.spotify.com/v1/audio-analysis/2Zv95uoSB1H4puVfAYbovF,203560,4
10220,0.777,0.948,7,-3.648,1,0.0479,0.127,5.36e-06,0.0708,0.973,142.359,audio_features,2iRfjwzPsooCskZrrlsgcC,spotify:track:2iRfjwzPsooCskZrrlsgcC,https://api.spotify.com/v1/tracks/2iRfjwzPsooCskZrrlsgcC,https://api.spotify.com/v1/audio-analysis/2iRfjwzPsooCskZrrlsgcC,231347,4
10221,0.488,0.754,5,-7.95,0,0.0381,0.00154,2.42e-05,0.678,0.664,88.369,audio_features,74JdR9aXE6I74oS1BVRsvb,spotify:track:74JdR9aXE6I74oS1BVRsvb,https://api.spotify.com/v1/tracks/74JdR9aXE6I74oS1BVRsvb,https://api.spotify.com/v1/audio-analysis/74JdR9aXE6I74oS1BVRsvb,197160,4
10222,0.539,0.866,0,-8.404,1,0.0483,0.0866,0.00414,0.0953,0.761,130.345,audio_features,62p6fF2r4NY6pwZbxxvmr8,spotify:track:62p6fF2r4NY6pwZbxxvmr8,https://api.spotify.com/v1/tracks/62p6fF2r4NY6pwZbxxvmr8,https://api.spotify.com/v1/audio-analysis/62p6fF2r4NY6pwZbxxvmr8,372893,4
10223,0.506,0.611,11,-4.977,1,0.0313,0.403,0.0,0.19,0.646,125.925,audio_features,4J2xMy0kakU9sAin1uppxb,spotify:track:4J2xMy0kakU9sAin1uppxb,https://api.spotify.com/v1/tracks/4J2xMy0kakU9sAin1uppxb,https://api.spotify.com/v1/audio-analysis/4J2xMy0kakU9sAin1uppxb,176000,4
10224,0.693,0.514,4,-8.489,0,0.0675,0.00972,0.323,0.103,0.553,128.47,audio_features,5vVwPth7ccUHil5wsUG7ky,spotify:track:5vVwPth7ccUHil5wsUG7ky,https://api.spotify.com/v1/tracks/5vVwPth7ccUHil5wsUG7ky,https://api.spotify.com/v1/audio-analysis/5vVwPth7ccUHil5wsUG7ky,212427,4
10225,0.489,0.892,11,-4.757,0,0.0786,0.000369,0.00293,0.411,0.598,137.93,audio_features,1MHYAqWWdDRePmnqORynrq,spotify:track:1MHYAqWWdDRePmnqORynrq,https://api.spotify.com/v1/tracks/1MHYAqWWdDRePmnqORynrq,https://api.spotify.com/v1/audio-analysis/1MHYAqWWdDRePmnqORynrq,160886,4
