,Song,Artist
371,"Mirror man (12"" extended version)",The Human League
372,Eres tú,Luz Casal
373,Lies,The Thompson Twins
374,El barón del bidé,La Trinca
375,All right,Christopher Cross
376,Desire,Future World Orchestra
377,Embrujada,Tino Casal
378,You are a danger,Gary Low
379,Por volverte a ver,Dyango
380,Genetic engineering,Orchestral Manoeuvres in the Dark (O.M.D.)
381,Un paso adelante,Emilio José
382,La noche no es para mí,Vídeo
383,Let's dance,David Bowie
384,Fame,Irene Cara
385,Baila comigo,Rita Lee
386,No tengo tiempo (Con los dedos de una mano),Azul y Negro
387,Mi mundo tú,Camilo Sesto
388,Last night a Dj saved my life,Indeep
389,El rock de una noche de verano,Miguel Ríos
390,Volveré,Chiquetete
391,Moonlight shadow,Mike Oldfield
392,Baby Jane,Rod Stewart
393,Every breath you take,The Police
394,She works hard for the money,Donna Summer
395,Cada loco con su tema,Joan Manuel Serrat
396,Mamma María,Ricchi e Poveri
397,Dolce vita,Ryan Paris
398,True,Spandau Ballet
399,La fiesta nacional,Mecano
400,No estás sola,Miguel Ríos
401,Maniac,Michael Sembello
402,Wrapped around your finger,The Police
403,The woman in you,Bee Gees
404,Scotland and the brave,The Royal Philharmonic Orchestra
405,Víctimas del desamor,Vídeo
406,Caballo de batalla,Juan Pardo
407,Quién piensa en ti,Gonzalo
408,Karma chameleon,Culture Club
409,Tiempo de amor,Danza Invisible
410,Se puede decir,Platino
411,Decídete,Luís Miguel
412,Undercover of the night,The Rolling Stones
413,Conspiración,Olé Olé
414,Transparente maniquí,RH+
415,Union of the snake,Duran Duran
416,Thriller,Michael Jackson
417,Vuelve,Gonzalo
418,Amor de mujer,Camilo Sesto
419,El pistolero,Pistones
420,París latino,Bandolero
421,Nobody told me,John Lennon
422,Obsesión,Platino
423,Radio Ga Ga,Queen
424,Eterna melodía,Bertín Osborne
425,Mangas cortas,Los Elegantes
426,No me puedes dejar así,Luís Miguel
427,Ali shuffle,Camaro's Gang
428,Running with the night,Lionel Richie
429,Adrenalina,Olé Olé
430,Lobo hombre en París,La Unión
431,El hombre lobo,Azul y Negro
432,Los ojos del gato,Luz Casal
433,"Lady, lady",Bravo
434,Pánico en el Edén,Tino Casal
435,Esta noche me quiero descolgar,Trúpita
436,Una de dos,Luis Eduardo Aute
437,Piel de terciopelo,Pato de Goma
438,Noches de San Juan,Bertín Osborne
439,Si tú los vieras,Los Pecos
440,Joanna,Kool and The Gang
441,Cerca de tí,Los Elegantes
442,One love / People get ready,Bob Marley & The Wailers
443,"La colegiala (12"" extended version)",Gary Low
