,Song,Artist,songID
4532,Pas assez de toi,Jackson Browne,"['Pas assez de toi', ['Mano Negra'], '06r4RVjE8HIP3CAnHgelsj']"
4533,Lucky Number,Luis Fonsi,"['Lucky Number', ['Lene Lovich'], '0kqFlkmfvKzQ4QSmx5PZ1A']"
4534,Turn On Your Love Light - Single Version / Stereo,Daddy Yankee,"['Stormy Monday Blues - Single Version / Stereo', ['Bobby ""Blue"" Bland'], '0goAvaPcZeQGCCxf4wYw7M']"
4535,Window Seat,Rage Against The Machine,"['Window Seat', ['Erykah Badu'], '74HYrIbnpc2xKCTenv5qKM']"
4536,Tell Mama,Deerhunter,"['Tell Mama', ['Etta James'], '6eFgjBTF91pOZTQ8t7xBHv']"
4537,Why Can't I Be You?,Stevie Nicks,"[""Why Can't I Be You?"", ['The Cure'], '3RcrFgETR1QGjzV6ZzIRBy']"
4538,Doctor My Eyes,Bran Van 3000,"['Doctor My Eyes', ['Jackson Browne'], '3QcuZo6WLcFkqqLmDs0d95']"
4539,Despacito - Remix,Elizabeth Cotten,"['Despacito - Remix', ['Luis Fonsi', 'Daddy Yankee', 'Justin Bieber'], '6rPO02ozF3bM7NnOV4h6s2']"
4540,Bullet In the Head,Alice In Chains,"['Bullet In The Head', ['Rage Against The Machine'], '1WWgMk8nD79p8VeKFGYrOw']"
4541,Monomania,Various Artists,"['MONOMANIA', ['The Word Alive'], '2EvXWDkzqUuGanZgzYDgZE']"
4542,Stop Draggin' My Heart Around (with Tom Petty & The Heartbreakers),Various Artists,"[""Stop Draggin' My Heart Around (with Tom Petty and The Heartbreakers) - 2016 Remaster"", ['Stevie Nicks', 'Tom Petty and the Heartbreakers'], '66LhCsc06aTa2Ig7iYPDSP']"
4543,Astounded,Bauhaus,"['Astounded', ['Lian Damboy'], '4OU0yxSksgjFb8gV2Hm6Ru']"
4544,Freight Train - Remastered,Horace Silver,"['Freight Train Blues (Remastered Version)', ['Mississippi Fred McDowell'], '0t4K3wk9UE3qADhPTHvLZS']"
4545,No Excuses,Spandau Ballet,"['No Excuses', ['Alice In Chains'], '4PtZE0h5oyPhCtPjg3NeYQ']"
4546,Give Him A Great Big Kiss,Rufus Wainwright,"['Give Him A Great Big Kiss', ['The Shangri-Las'], '3oXZc7JQUfqs29lpyQFny6']"
4547,Little Green Bag,The Kinks,"['Little Green Bag', ['George Baker Selection'], '4DR5MStkWtDYf17jBUOo0V']"
4548,She's in Parties (Single Edit),Hüsker Dü,"[""She's in Parties (Single Edit)"", ['Bauhaus'], '6pKIlBv7WPbJsiLEiMdowL']"
4549,Song For My Father,LL Cool J,"['Song For My Father', ['Horace Silver'], '1CDBaGlisZlOJzvx88lL8A']"
4550,To Cut a Long Story Short,Various Artists,"['To Cut a Long Story Short - 2010 Remaster', ['Spandau Ballet'], '3eiUQTsfRQ0abO6duxLcxw']"
4551,Going To A Town,Evanescence,"['Going To A Town', ['Rufus Wainwright'], '4jgIzymHtlUCk3DkjWkvFL']"
4552,Victoria,Wolf Parade,"['Victoria', ['Lunay', 'Beéle'], '2BxzmBb2uqwnpyVuJqIIV9']"
4553,I Apologize,Grand Funk Railroad,"['I Apologize', ['Five Finger Death Punch'], '11uYLvX94pLqGXyiBqv4vI']"
4554,Going Back To Cali,Nick Cave & The Bad Seeds,"['Going Back to Cali - 2014 Remaster', ['The Notorious B.I.G.'], '53duuSwaLOZuIrELvZXqLH']"
4555,My Definition Of A Boombastic Jazz Style,Woody Herman,"['My Definition Of A Boombastic Jazz Style', ['Dream Warriors'], '0pUED0wtNUsSZvmSlJVDhl']"
4556,Bring Me to Life,Charles Mingus,"['Bring Me To Life', ['Evanescence'], '0COqiPhxzoWICwFCS4eZcp']"
4557,I'll Believe In Anything,Cults,"[""I'll Believe in Anything"", ['Wolf Parade'], '7zxikeAavSLQVGocbK2nau']"
4558,Bad Time - Remastered 2002,Sasha,"['Bad Time - Remastered 2002', ['Grand Funk Railroad'], '2DL5cXb2F3nvggbyTiNhzc']"
4559,"There She Goes, My Beautiful World",Bonnie Raitt,"['There She Goes, My Beautiful World', ['Nick Cave & The Bad Seeds'], '4KQOt8UvwZmUF8sjT4Za50']"
4560,Early Autumn,Elton John,"['Early Autumn Rain', ['Rain-Dears'], '5YqfEDaj1m9CVCFtLYwDbr']"
4561,Pithecanthropus Erectus,Kanye West,"['Pithecanthropus Erectus', ['Charles Mingus'], '5lDqsu4gUAfFo8rPEEhHKw']"
4562,Abducted,Kendrick Lamar,"['Abducted', ['Drippy London'], '0CYnfwZ9213IeJ6TbsaUAe']"
4563,Xpander,Elvis Presley,"['Xpander - Live at the Barbican', ['Sasha'], '70L0yX5JMm6gZOocNaGYNj']"
4564,Something To Talk About,Elmore James,"['Something to Talk About', ['Koe Wetzel'], '7ptJYMKI7Y1iWdqEZtBMGE']"
4565,The Bitch Is Back,Jr. Walker & The All Stars,"['The Bitch Is Back', ['Elton John'], '40tnCfx2mTtHozyaRDcYC5']"
4566,Good Life,Metro Area,"['Good Life', ['Kanye West', 'T-Pain'], '14blxrgE0VWAgv5aF2wWmx']"
4567,Backseat Freestyle,Royal Blood,"['Backseat Freestyle', ['Kendrick Lamar'], '3aGibUHhQyBsyumYHylw0K']"
4568,If I Can Dream - Stereo Mix,Feist,"['If I Can Dream - Stereo Mix', ['Elvis Presley'], '1UFC110Pt7YQsgeDbmllyx']"
4569,The Sky Is Crying,Alice Cooper,"['The Sky Is Crying', ['Elmore James'], '1cRTAPP2FG9h2WiYMOIVIK']"
4570,(I'm A) Road Runner,Nirvana,"[""(I'm A) Road Runner"", ['Jr. Walker & The All Stars'], '5llZqDjRHnn5pAUswFqQCf']"
4571,Miura,Rilo Kiley,"['Miura', ['Metro Area'], '7wu4CDoKfHqbaJCNO2qvza']"
4572,Figure It Out,Guns N' Roses,"['Figure It Out', ['Blu DeTiger'], '5G5qyRHlLmZgy915TBTCkB']"
4573,My Moon My Man,Suzanne Vega,"['My Moon My Man', ['Feist'], '5FFQbvn7055P1DvgJDdCBP']"
4574,Under My Wheels,Mecano,"['Under My Wheels', ['Alice Cooper'], '6TPMFSJFmyIohTM5El90Po']"
4575,Scentless Apprentice,Björk,"['Scentless Apprentice', ['Nirvana'], '54UFDHWI2q7WHfrGbSNWph']"
4576,Portions for Foxes,Captain & Tennille,"['Portions for Foxes', ['Rilo Kiley'], '4yY8JqTOQyi7K4O1QcQtBG']"
4577,Don't Cry (Original),Van Halen,"[""Don't Cry (Original)"", [""Guns N' Roses""], '2N2yrmodOnVF10mKvItC9P']"
4578,Marlene On The Wall,R.E.M.,"['Marlene On The Wall', ['Suzanne Vega'], '2WMay5ANq2NNjrxRcKAvkN']"
4579,Cruz de Navajas,Jimi Hendrix,"['Cruz de Navajas', ['Mecano'], '73JlqLGG7TKKqKa8F80vPd']"
4580,The Gate,Ethel Waters,"['The Gates', ['Aesop Rock'], '6VxDxbwKhTyJNDOpYZJTsz']"
4581,Love Will Keep Us Together,Gino Paoli,"['Love Will Keep Us Together', ['Captain & Tennille'], '4pCNJwixy2ImFncaPY2yE2']"
4582,Hot For Teacher,Beirut,"['Hot for Teacher - 2015 Remaster', ['Van Halen'], '6QDbGdbJ57Mtkflsg42WV5']"
4583,At My Most Beautiful,Wilco,"['At My Most Beautiful', ['R.E.M.'], '5Knohtj8UsTpFZsTCkMZWx']"
4584,Burning of the Midnight Lamp,Duke Ellington,"['Burning of the Midnight Lamp', ['Jimi Hendrix'], '36SULeBeglappJysOY6WzQ']"
4585,Stormy Weather,Tom Waits,"['Stormy Weather', ['Etta James'], '2IdwQxhJn9ZE4zIotcCefR']"
4586,Sapore di sale,Aerosmith,"['Sapore di sale', ['Gino Paoli'], '3DAFQyYYpTDEuChTS8eTU7']"
4587,Santa Fe,The Beatles,"['Santa Fe Reflection', ['Sleep Tentacles'], '7hIAFW3wOT3uRN42BXZRPx']"
4588,Via Chicago,Skream,"['Via Chicago', ['Wilco'], '58nPDufBVhMa2bT8G59CzS']"
4589,It Don't Mean A Thing (If It Ain't Got That Swing),The Beatles,"[""It Don't Mean a Thing (If It Ain't Got That Swing)"", ['Louis Armstrong', 'Duke Ellington'], '4M5Mnz9ORqaMMUAgKtv3bI']"
4590,16 Shells From A 30.6,Adam & The Ants,"['16 Shells From A 30.6', ['Tom Waits'], '62IheWhdETaG4YQa4Mm9z2']"
4591,Mama Kin,Vitalic,"['Mama Kin', ['Aerosmith'], '7Id8Qi0oQMV8J78fdtuZxo']"
4592,It Won't Be Long - Remastered,Miguel Ríos,"[""It Won't Be Long - Remastered 2009"", ['The Beatles'], '4ekUX4pWizXXksJe0JfS9U']"
4593,Midnight Request Line,The Temptations,"['Midnight Request Line', ['Skream'], '6saiu3uHwIpzPl8GKtRRNR']"
4594,From Me To You - Remastered,OutKast,"['From Me To You - Remastered 2009', ['The Beatles'], '7nBGBbzfnPiowCvXKJnV9J']"
4595,Antmusic,The Brothers Johnson,"['Antmusic - Remastered', ['Adam & The Ants'], '2tYnmGr2CTrCugCNK73uoW']"
4596,My Friend Dario,Sampler,"['My Friend Dario', ['Vitalic'], '4eoA159Hdcq7g345pfFCp1']"
4597,Bienvenidos - Live,Hot Chip,"['Bienvenidos - Live', ['Miguel Ríos'], '6XdEU7zWICmAcPiMJgWhhC']"
4598,I Wish It Would Rain - Single Version,Gene Pitney,"['I Wish It Would Rain - Single Version', ['The Temptations'], '7ofYogNzBnuvHKBLElvlcE']"
4599,"So Fresh, So Clean",The Mills Brothers,"['So Fresh, So Clean', ['OutKast'], '6glsMWIMIxQ4BedzLqGVi4']"
4600,Strawberry Letter 23,You Am I,"['Strawberry Letter 23', ['Shuggie Otis'], '4W8IEREeLldaSQyGXcZQ2I']"
4601,Allons À Lafayette,WU LYF,"['Allons a Lafayette', ['The Cajun Playboys'], '3P5CrJ5oS7LbS6WsuJSLmW']"
4602,I Feel Better,Michelle Shocked,"['I Feel Better', ['Novo Amor'], '26hImVVRizWaA5kgF2goQf']"
4603,Man Who Shot Liberty Valance,Kanye West,"['(The Man Who Shot) Liberty Valance', ['Gene Pitney'], '2ZHxl0iAc5mwJFX6Y5TvRU']"
4604,Paper Doll - Single Version,John Paul Young,"['Paper Doll - Single Version', ['The Mills Brothers'], '2IwQksOy3XrUUEuUP4D7I1']"
4605,Berlin Chair,Various Artists,"['Berlin Chair', ['You Am I'], '1fhLBWJ39ihyjEqgPiUf6B']"
4606,We Bros,Various Artists,"['We Bros', ['WU LYF'], '5avInxT0Dl9y93kBGMnWKX']"
4607,Anchorage,Fats Waller,"['Anchorage', ['Masterlink'], '3nwEfPoh4yPOdaYm6EOB7G']"
4608,Touch The Sky,Rainbow,"['Touch The Sky', ['Kanye West', 'Lupe Fiasco'], '2dxjKgT0li4qBI3QwuN9Ih']"
4609,Love Is in the Air,Various Artists,"['Love Is In The Air', ['John Paul Young'], '3c4OULLWwgRqBfA2dJtRuY']"
4610,How Bizarre,Flume,"['How Bizarre', ['OMC'], '0wJyFu6JHwUoKQN5X3uzVe']"
4611,Flash,Bee Gees,"['Flashing Lights', ['Kanye West', 'Dwele'], '31I3Rt1bPa2LrE74DdNizO']"
4612,Handful of Keys - Remastered 2000,Janis Joplin,"['Handful of Keys - Remastered 2000', ['Fats Waller'], '0waPIgxlioI0HVVOpSTr1P']"
4613,Stargazer,The Cramps,"['Stargazer', ['Rainbow'], '1aDNYyeU62BuQsBAY18i48']"
4614,Positive Education,The Nerves,"['Positive Education', ['Slam'], '3RSvIGylwXhu3r83K1bkJJ']"
4615,Never Be Like You (feat. Kai),Of Monsters and Men,"['Never Be Like You (feat. Kai)', ['Flume', 'kai'], '5WI2ltQIdwgzf1SNE76JyR']"
4616,How Can You Mend a Broken Heart? - Remastered Version,LCD Soundsystem,
4617,Little Girl Blue,Various Artists,"['Little Girl Blue', ['Jeremy Pelt'], '7e4cQ65cw0hbgQfbZr9IUD']"
4618,Goo Goo Muck,Alice Cooper,"['Goo Goo Muck', ['The Cramps'], '3EEd6ldsPat620GVYMEhOP']"
4619,Hanging On The Telephone,Sixpence None The Richer,"['Hanging on the Telephone', ['The Nerves'], '5LkI19KFtfJUjxOxvZavUf']"
4620,Little Talks,Paul Revere & The Raiders,"['Little Talks', ['Of Monsters and Men'], '2ihCaVdNZmnHZWt0fvAM7B']"
4621,Tribulations,Edie Brickell & New Bohemians,"['Tribulations', ['LCD Soundsystem'], '5JOO8UMaEpOfhhatQQsAqm']"
4622,Sally Gooden,Various Artists,"['Sally Gooden', ['Eck Robertson'], '5VdYenFr9hnB0jTBDzs9NC']"
4623,Halo of Flies,Louis Prima,"['Halo of Flies', ['Alice Cooper'], '26uVP8g7Uijo0zuN22De3x']"
4624,Kiss Me,XTC,"['Kiss Me Thru The Phone', ['Soulja Boy', 'Sammie'], '2q4rjDy9WhaN3o9MvDbO21']"
4625,Kicks,Various Artists,"['Kickstart My Heart', ['Mötley Crüe'], '7GonnnalI2s19OCQO1J7Tf']"
4626,What I Am,The xx,"['what i am', ['Crown The Empire'], '1saCzowTZeWnT2N1dEAWIM']"
4627,Temptation,Cerrone,"['Temptations (feat. Kid Cudi)', ['Ty Dolla $ign', 'Kid Cudi'], '0SKbj3NTkGFS76OkFmAw0u']"
4628,Just A Gigolo / I Ain't Got Nobody - Medley / Remastered,Faces,"[""Just A Gigolo / I Ain't Got Nobody - Medley / Remastered"", ['Louis Prima', 'Keely Smith', 'Sam Butera & The Witnesses'], '0NI42v4l2AxIbgoIrWKiBU']"
4629,Mayor Of Simpleton,Yusuf / Cat Stevens,"['Mayor Of Simpleton - 2001 Remaster', ['XTC'], '39eEVHdCHNTmfg1KzEDxvK']"
4630,Dedicated To The One I Love,The Jam,"['Dedicated To The One I Love', ['The Mamas & The Papas'], '1mFrjW8e8fuAOowlU3Q3Dr']"
4631,Say Something Loving,Glasvegas,"['Say Something Loving', ['The xx'], '728zbo72kOoYdGR3AhNsyF']"
4632,Supernature,Marvin Gaye,"['Supernature', ['Cerrone'], '7Gq0mwnsctEFGsneABnNv3']"
4633,Ooh La La,Erroll Garner,"['Ooh La La', ['Faces'], '4lJ6YVXQ0jUk5ILu0PSrA4']"
4634,Peace Train,Paul Revere & The Raiders,"['Peace Train', ['Yusuf / Cat Stevens'], '1ppuHX1oVMku5LTL0swNZP']"
4635,Beat Surrender,"Huey ""Piano"" Smith","['Beat Surrender', ['The Jam'], '4rNgFyEBbLSDQmOa3MZCNQ']"
4636,Geraldine,The Clowns,"['Geraldines Routine', ['Tape Five'], '42l9bIPPT5555p3KeY83y2']"
4637,You're All I Need To Get By,Brian Eno,"[""You're All I Need To Get By"", ['Marvin Gaye', 'Tammi Terrell'], '6Ndauo9gCxNjTfklsFYS7b']"
4638,Misty (07-27-54),Supertramp,
4639,Hungry,Ludacris,"['Hungry Like the Wolf - 2009 Remaster', ['Duran Duran'], '39lSeqnyjZJejRuaREfyLL']"
4640,Don't You Just Know It?,Led Zeppelin,"[""Don't You Just Know It"", ['Huey ""Piano"" Smith'], '2JnmWxBSfe7YaOrGxOMjD2']"
4641,St Elmo's Fire - 2004 Digital Remaster,Foxygen,"[""St Elmo's Fire - 2004 Digital Remaster"", ['Brian Eno'], '0UROPTHqU5C7TI1N8wOkIF']"
4642,Give A Little Bit,Belle & Sebastian,"['Give A Little Bit', ['Supertramp'], '6XUHsYE38CEbYunT983O9G']"
4643,Southern Hospitality (Featuring Pharrell),Paul Simon,"['Southern Hospitality (Featuring Pharrell)', ['Ludacris', 'Pharrell Williams'], '4cNhx6OO1XpvwT6xZnb83B']"
4644,Ten Years Gone - Remaster,Spandau Ballet,"['Ten Years Gone - Remaster', ['Led Zeppelin'], '6M5m8gfTj3rhYEPDzLmdL4']"
4645,San Francisco,Hot Chip,"['San Francisco', [""The Mowgli's""], '5RRWirYSE08FPKD6Mx4v0V']"
4646,"Step Into My Office, Baby",Bon Jovi,"['Step Into My Office, Baby', ['Belle & Sebastian'], '53IPOSmJMkBGZjo98RYpZT']"
4647,Me and Julio Down by the Schoolyard,Klaxons,"['Me and Julio Down by the Schoolyard', ['Paul Simon'], '6vxHp3CDNo0afgKGp2yi1E']"
4648,Gold - 2003 Remaster,Tame Impala,"['Gold - 2003 Remaster', ['Spandau Ballet'], '1KRy2REKqKQa9EOB4Ka5zU']"
4649,Flutes,The Chemical Brothers,"['Flutes', ['Hot Chip'], '4Z03QyhMr9NIbMwKnajzwT']"
4650,You Give Love A Bad Name,Green Day,"['You Give Love A Bad Name', ['Bon Jovi'], '0rmGAIH9LNJewFw7nKzZnc']"
4651,Atlantis To Interzone,The Teardrop Explodes,"['Atlantis To Interzone', ['Klaxons'], '2ZULEJnMCy8S54UwCecbJr']"
4652,Apocalypse Dreams,The Pogues,"['Apocalypse Dreams', ['Tame Impala'], '7qU7vhCPKhkDiJYGoboISc']"
4653,Star Guitar,Bruce Springsteen,"['Star Guitar', ['The Chemical Brothers'], '19mC6xktT1JyyycK6cQaXA']"
4654,Jesus of Suburbia,Billie Holiday,"['Jesus of Suburbia', ['Green Day'], '58KPPL1AdLHMvR2O2PZejr']"
4655,Treason,Trio,"['Treason - From ""Frozen""/Score', ['Christophe Beck'], '7MbxGGDNm263tewNLbe3w8']"
4656,Sally MacLennane,Philippe Katerine,"['Sally MacLennane', ['The Pogues'], '2779hybiMKwid1gcrFVMzH']"
4657,The Promise - Studio Outtake - 1999,MJ Cole,"['The Promise - Studio Outtake - 1999', ['Bruce Springsteen'], '5pDtAXuC4Hfmk0SWaawny4']"
4658,Gloomy Sunday - Take 1,Wu-Tang Clan,"['Gloomy Sunday - Take 1', ['Billie Holiday', 'Teddy Wilson'], '41CHb7F7SXcmkj0h8wekeF']"
4659,Da Da Da (I Don't Love You You Don't Love Me Aha Aha Aha),TLC,"[""Da Da Da (I Don't Love You You Don't Love Me Aha Aha Aha)"", ['Trio'], '5XZkMrlZsAqY9ltgN1cN4b']"
4660,Louxor j'adore,The Walkmen,"[""Louxor j'adore"", ['Philippe Katerine'], '60udb73Xe8KJ7IzBhn3ptV']"
4661,Sincere (Re-Cue`d),Lucio Dalla,"[""Sincere - Re-Cue'D"", ['MJ Cole', 'Nova Caspar', 'Jay Dee'], '3ttQGouvKMlbI2bTgAMWup']"
4662,Triumph,Alvvays,"['Triumph', ['Wu-Tang Clan', 'Cappadonna'], '3glqlA5qY3bbo8UaUDGPnw']"
4663,Unpretty,Bob Dylan,"['Unpretty', ['TLC'], '0BUoLE4o9eVahDHvTqak67']"
4664,In the New Year,The Rolling Stones,"['In the New Year', ['The Walkmen'], '03F9c13uuAonNSjeFZCcJ9']"
4665,Come è profondo il mare,The Replacements,"['Come è profondo il mare', ['Lucio Dalla'], '0JwmNxq34rBNZfdj0HJzOW']"
4666,Dreams Tonite,Johnny Cash,"['Dreams Tonite', ['Alvvays'], '0DRvClQbN9znQ295sx76VC']"
4667,Most of the Time,Various Artists,"['Most Of The Time', ['Turnover'], '05lyDgXEJndniH1HfQTiQe']"
4668,Heart Of Stone,Paul Simon,"['Heart of Stone', ['Six', 'Natalie Paris'], '3akeuMy9bqJbqDlfYevbwN']"
4669,Can't Hardly Wait - 2008 Remaster,Mission Of Burma,"[""Can't Hardly Wait - 2008 Remaster"", ['The Replacements'], '0NX14YH2t16bwwlJSfXazr']"
4670,"Cocaine Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968",Harold Melvin & The Blue Notes,"['Cocaine Blues - Live at Folsom State Prison, Folsom, CA (1st Show) - January 1968', ['Johnny Cash'], '6i8SZ4NIrYeyrbBOoRSC9z']"
4671,"Buddy (feat. Jungle Bros., Q-Tip, Phife, Queen Latifah & Monie Love)",Various Artists,
4672,Still Crazy After All These Years,Bob Dylan,"['Still Crazy After All These Years', ['Paul Simon'], '3gIBSlXYIN1mru35l4LWPB']"
4673,Academy Fight Song,Green Day,"['Academy Fight Song', ['Mission Of Burma'], '41BkhNoTpxX8CrGzOiRd7W']"
4674,Bad Luck,Faith No More,"['Bad Luck', ['Khalid'], '2vsuel3g4zaLYSOY0mOMbi']"
4675,The Perfect Drug,Otis Redding,"['The Perfect Drug', ['Nine Inch Nails'], '14tKBoKXxGakkoEmYuFfor']"
4676,I Threw It All Away,Sam Cooke,"['I Threw It All Away', ['Bob Dylan'], '2HXnjMxrO4QccqE3Grwmd0']"
4677,Brain Stew,Justin Timberlake,"['Brain Stew', ['Green Day'], '1nLnpLXvl68RZCSjfkyiaa']"
4678,Midlife Crisis,Various Artists,"['Midlife Crisis', ['Faith No More'], '3Ph7fws05DvPwpn5CQHTBy']"
4679,Hard to Handle,The Beach Boys,"['Hard To Handle', ['The Black Crowes'], '05NYcsjJwOYq4jIiKPVj9p']"
4680,Having A Party,The Streets,"['Having A Party', ['Lee ""Scratch"" Perry'], '1YAXrOLk7EGfv1tlSnGOqi']"
4681,LoveStoned / I Think She Knows Interlude,Gerry & The Pacemakers,"['LoveStoned / I Think She Knows (Interlude)', ['Justin Timberlake'], '5iyE2d4U3Vc5cqY9mPTlpy']"
4682,Rippin Kittin,The Afghan Whigs,"[""Rippin' Kittin - Original Mix"", ['Tenebrio', 'Miss Kittin', 'Golden Boy'], '3pkzNScqa26RBRk3ly9VF8']"
4683,Don't Talk (Put Your Head On My Shoulder) - Remastered,Georges Delerue,"[""Don't Talk (Put Your Head On My Shoulder) - Remastered"", ['The Beach Boys'], '6gDRRyg6bSODdwbuUBupoU']"
4684,It's Too Late,Various Artists,"[""It's Too Late"", ['Carole King'], '12q3V8ShACq2PSWINMc2rC']"
4685,You'll Never Walk Alone - Mono; 2002 Remaster,Etta James,"[""You'll Never Walk Alone - Mono; 2002 Remaster"", ['Gerry & The Pacemakers'], '6catF1lDhNTjjGa2GxRQNN']"
4686,Debonair - Remastered,Manu Chao,"['Debonair - Remastered', ['The Afghan Whigs'], '2NGa00eaFm9aMGzn6GkE9z']"
4687,Le tourbillon,Morrissey,"['Le tourbillon', ['Georges Delerue'], '2PIGvb6Qdl9PQXmnqhbCaQ']"
4688,Excerpt From A Teenage Opera - 2009 Remastered Version,Michael Jackson,
4689,The Wallflower,The Jam,"['One Headlight', ['The Wallflowers'], '0z1b34WikhOH9ZxU8QDWcv']"
4690,Me Gustas Tu,Bob Lind,"['Me Gustas Tu', ['Manu Chao'], '6b37xrsNCWYIUphFBazqD6']"
4691,"The More You Ignore Me, the Closer I Get - 2014 Remaster",The Association,"['The More You Ignore Me, the Closer I Get - 2014 Remaster', ['Morrissey'], '24ECIWIixkpUizwCxbxxI4']"
4692,Scream,Tommy Dorsey,"['Scream & Shout', ['will.i.am', 'Britney Spears'], '2iJuuzV8P9Yz0VSurttIV5']"
4693,Strange Town,Various Artists,"['Strange Town', ['The Moderates'], '3JjmSjijPsu3AWei1adplt']"
4694,Elusive Butterfly,Romeo Void,"['Elusive Butterfly', ['Bob Lind'], '226EXK5tPVsqaZ2y9RACR0']"
4695,Windy,Broken Social Scene,"['Windy Thunderstorm', ['Nature Therapy'], '4GheXWtCk9tvw7YMpYIEsn']"
4696,I'm Getting Sentimental Over You,Bill Withers,"[""I'm Getting Sentimental Over You"", ['Loretta Scott'], '3QU0LuySpN6J3jZUb9XYFv']"
4697,Silver Screen (Shower Scene),Gloria Estefan,"['Silver Screen (Shower Scene)', ['Felix Da Housecat'], '65EBIxct6KqP1Tm5jrOzex']"
4698,Never Say Never,Édith Piaf,"['Never Say Never', ['The Fray'], '57uX2vR9j9DNiANDYfXw1i']"
4699,Cause = Time,The Pharcyde,"['Cause = Time', ['Broken Social Scene'], '17z65LFVRqSVJCMyjfrBm9']"
4700,Grandma's Hands,Daft Punk,"[""Grandma's Hands"", ['Bill Withers'], '1qfDfZAvrkSAFrAR2FTQDv']"
4701,Conga,Various Artists,"['Conga', ['Miami Sound Machine'], '3FdHgoJbH3DXNtGLh56pFu']"
4702,La foule - 2012 Remastered,Etta James,"['La foule - 2012 Remastered', ['Édith Piaf'], '1qeuuXBdPTjvF3PbaTnmcl']"
4703,Runnin',Michael Jackson,"['Runnin', ['21 Savage', 'Metro Boomin'], '5SWnsxjhdcEDc7LJjq9UHk']"
4704,Giorgio by Moroder,The Jackson 5,"['Giorgio by Moroder', ['Daft Punk'], '0oks4FnzhNp5QPTZtoet7c']"
4705,Forbidden Colours,XTC,"['Forbidden Colours', ['David Sylvian', 'Ryuichi Sakamoto'], '2GtFvePJY8T1anGuizjcIk']"
4706,I Just Want To Make Love To You - Single Version,Kate Bush,"['I Just Want To Make Love To You - Single Version', ['Etta James'], '3QnHWkNMY2mpy494Bis0ly']"
4707,Never Can Say Goodbye,Loverboy,"['Never Can Say Goodbye', ['The Jackson 5'], '5RHf8SmHRWbF3oywpXaQ2i']"
4708,Generals And Majors - 2001 Remaster,Big Thief,"['Generals And Majors - 2001 Remaster', ['XTC'], '3jJm28Q9MEhnRbxk2LdfkK']"
4709,Babooshka,Jerry Butler,"['Babooshka', ['Kate Bush'], '53Mz9H5UvWMQUXHZnaZYKQ']"
4710,Working for the Weekend,Nirvana,"['Working for the Weekend', ['Loverboy'], '35k31HZI4z9PbBOioaI4dZ']"
4711,Shark Smile,Death Cab for Cutie,"['Shark Smile - Edit', ['Big Thief'], '4rCrSoFxqRFmnHQyFGlkbA']"
4712,He Will Break Your Heart,Tobias Jesso Jr.,"['He Will Break Your Heart', ['Jerry Butler'], '2ZJZcqM60OwgqTO1OvJpHL']"
4713,Territorial Pissings,Parquet Courts,"['Territorial Pissings', ['Nirvana'], '2jmVGWe4MYY1zAAzpFHHcC']"
4714,Soul Meets Body,The Lightning Seeds,"['Soul Meets Body', ['Death Cab for Cutie'], '5yc59J3MR3tVDPTOgwgRI5']"
4715,How Could You Babe,Queens of the Stone Age,"['How Could You Babe', ['Tobias Jesso Jr.'], '3UTD8DQ1liGCFd9lE0gQDR']"
4716,Human Performance,JVC Force,"['Human Performance', ['Parquet Courts'], '3iyYmoZMI4o0xW0nCLwAT3']"
4717,Pure,Elvis Presley,"['Pure Water (with Migos)', ['Mustard', 'Migos'], '3j84U36KvLeXNDPv4t5pI8']"
4718,My God Is The Sun,Donald Fagen,"['My God Is The Sun', ['Queens of the Stone Age'], '1Pc3gTtQG4Cq1x81NcXtCN']"
4719,Strong Island,KAYTRANADA,"['Strong Island', ['JVC Force'], '4gL6J18mb93kNay5kuAUFR']"
4720,Blue Suede Shoes,Empire of the Sun,"['Blue Suede Shoes', ['Elvis Presley'], '47gmoUrZV3w20JAnQOZMcO']"
4721,I.G.Y.,Manic Street Preachers,"['I.G.Y.', ['Donald Fagen'], '6bzwsAtj4TqaBysLDrGiO3']"
4722,LITE SPOTS,Nick Drake,"['LITE SPOTS', ['KAYTRANADA'], '5NjNYbL0eI1khtqmRRMd5W']"
4723,We Are The People,Judy Garland,"['We Are The People', ['Empire of the Sun'], '3zEN0ii6s4DHHBpnTp3RP7']"
4724,You Love Us,Various Artists,"['You Love Us', ['Repulsive Requirement'], '11kVQFxIpxjY59PmeeHaAL']"
4725,Hazey Jane II,Beastie Boys,"['Hazey Jane II', ['Nick Drake'], '1Juj6Rg5MhutU8gW43934B']"
4726,For Me And My Gal - Single Version,Moby,"['For Me And My Gal - Single Version', ['Judy Garland', 'Gene Kelly', 'David Rose And His Orchestra'], '7ufsJZb8btYHsvcH2R7B9N']"
4727,Bird Dog,Kylie Minogue,"['Bird Dog', ['Eric Burgett'], '66TeHRybFbtLx55VIXBFML']"
4728,Ch-Check It Out,Cannibal & The Headhunters,"['Ch-Check It Out', ['Beastie Boys'], '1HgcdtfNmIzvyWVfMthPPY']"
4729,Natural Blues,Ghostface Killah,"['Natural Blues', ['Moby'], '4qUVntQ46fmejnJDlRlJpw']"
4730,Love at First Sight,Joe Liggins,"['Love At First Sight', ['The Brobecks'], '4meLiXR44Kg4MdXoVSO58C']"
